Time,Tin,Tout,G,Tam
1,23.6,26.1,0,23.89
2,24.3,26.8,849.6,23.89
3,24.7,27.2,849.6,23.89
4,25.2,28,849.6,23.89
5,25.6,28.5,849.6,23.89
6,26.1,29.1,849.6,23.89
7,26.8,29.6,849.6,23.89
8,27.2,30.2,849.6,23.89
9,27.9,30.8,849.6,23.89
10,28.5,31.4,849.6,23.89
11,29.1,32,849.6,23.89
12,29.7,32.5,849.6,23.89
13,30.2,33.1,849.6,23.89
14,30.7,33.6,849.6,23.89
15,31.3,34.2,849.6,35
16,31.8,34.9,849.6,35
17,32.5,35.3,849.6,35
18,32.9,35.8,849.6,35
19,33.5,36.3,849.6,35
20,34,37,849.6,35
21,34.4,37.8,849.6,35
22,35,38.5,849.6,35
23,35.4,38.9,849.6,35
24,35.8,39.4,849.6,35
25,36.4,39.8,849.6,35
26,36.9,40.3,849.6,35
27,37.5,40.8,849.6,35
28,37.9,41.4,849.6,35
29,38.3,41.8,849.6,35
30,38.8,42.4,858.2,38.89
31,39.3,42.8,858.2,38.89
32,39.7,43.3,858.2,38.89
33,40.2,43.8,858.2,38.89
34,40.6,44.1,858.2,38.89
35,41,44.5,858.2,38.89
36,41.3,44.9,858.2,38.89
37,41.7,45.2,858.2,38.89
38,42.1,45.5,858.2,38.89
39,42.5,45.8,858.2,38.89
40,42.8,46.3,858.2,38.89
41,43.2,46.6,858.2,38.89
42,43.6,47.1,858.2,38.89
43,44.1,47.7,858.2,38.89
44,44.5,48.2,858.2,38.89
45,44.7,48.8,896.1,41.67
46,45.5,49.1,896.1,41.67
47,45.8,49.6,896.1,41.67
48,46.3,49.9,896.1,41.67
49,46.6,50.4,896.1,41.67
50,47.1,50.8,896.1,41.67
51,47.4,51.2,896.1,41.67
52,47.7,51.6,896.1,41.67
53,48.1,51.8,896.1,41.67
54,48.3,52.2,896.1,41.67
55,48.6,52.3,896.1,41.67
56,49.1,52.5,896.1,41.67
57,49.1,53.1,896.1,41.67
58,49.3,53.2,896.1,41.67
59,49.5,53,896.1,41.67
60,49.7,53.2,891,42.78
61,50.1,53.3,177.5,35.56
62,50.2,54.2,177.5,35.56
63,50.3,51.8,177.5,35.56
64,50.1,50,177.5,35.56
65,49.7,49.5,177.5,35.56
66,49.6,49.2,177.5,35.56
67,49.2,49,177.5,35.56
68,49.1,48.7,177.5,35.56
69,48.8,48.5,177.5,35.56
70,48.6,48.2,177.5,35.56
71,48.3,48,177.5,35.56
72,48.2,47.8,177.5,35.56
73,48,47.6,177.5,35.56
74,47.7,47.3,177.5,35.56
75,47.5,47.2,177.5,35.56
76,47.4,47,0,31.11
77,47.2,46.8,0,31.11
78,46.9,46.6,0,31.11
79,46.8,46.3,0,31.11
80,46.6,46.1,0,31.11
81,46.2,45.8,0,31.11
82,46.1,45.5,0,31.11
83,45.8,45.5,0,31.11
84,45.7,45.3,0,31.11
85,45.5,45.1,0,31.11
86,45.2,45,0,31.11
87,45.2,44.7,0,31.11
88,44.9,44.6,0,31.11
89,44.7,44.3,0,31.11
90,44.5,44.1,0,31.11
91,44.3,44,0,28.89
92,44.1,43.8,0,28.89
93,43.9,43.6,0,28.89
94,43.8,43.6,0,28.89
95,43.6,43.3,0,28.89
96,43.5,43.2,0,28.89
97,43.6,43,0,28.89
98,43.2,42.8,0,28.89
99,43,42.7,0,28.89
100,43,42.5,0,28.89
101,42.7,42.3,0,28.89
102,42.6,42.2,0,28.89
103,42.5,42.1,0,28.89
104,42.2,41.8,0,28.89
105,42.2,41.8,0,28.89
106,42.1,41.6,0,27.78
107,41.9,41.3,0,27.78
108,41.8,41.2,0,27.78
109,41.5,41.1,0,27.78
110,41.3,41.1,0,27.78
111,41.3,40.8,0,27.78
112,41.2,40.7,0,27.78
113,41.1,40.7,0,27.78
114,41,40.5,0,27.78
115,40.8,40.4,0,27.78
116,40.8,40.2,0,27.78
117,40.6,40.1,0,27.78
118,40.5,40,0,27.78
119,40.3,39.8,0,27.78
120,40.2,39.8,0,27.78
